feature,importance
num__st_depression,0.11064240464866301
cat__chest_pain_type_4,0.10447514201189412
cat__thallium_3,0.10280034503679929
cat__number_of_vessels_fluro_0,0.09341914144492446
num__max_hr,0.08760658735557701
cat__thallium_7,0.07376674991416007
num__cholesterol,0.06227994156552204
cat__slope_of_st_2,0.05750611627305667
cat__exercise_angina_0,0.05498071135409604
cat__slope_of_st_1,0.03956059831087027
cat__sex_1,0.037706199260522225
cat__exercise_angina_1,0.03761167696764653
cat__sex_0,0.025899930216294276
cat__number_of_vessels_fluro_2,0.015639794633095363
cat__number_of_vessels_fluro_1,0.014196556105287363
cat__chest_pain_type_3,0.013854552714784895
cat__number_of_vessels_fluro_3,0.012867719798080443
cat__ekg_results_0,0.012697473453524141
cat__ekg_results_2,0.01070104552770087
cat__chest_pain_type_2,0.010565625893673658
cat__chest_pain_type_1,0.00885291951081256
cat__slope_of_st_3,0.006085394113134302
cat__thallium_6,0.005865694441392298
cat__ekg_results_1,0.000417679448488184
